product_no,category,name,price,add_date,views,more_information_image,represent_image
6251,78,엑시옴 라지볼 44mm 6개입 3성 ABS 공식사용구,15000,2022-10-04,457,https://redsports.co.kr//web/product/manual/S-LARGE.jpg,https://redsports.co.kr/web/product/big/202211/eb9aee43c5b53482acd4dbeb4a083cce.jpg
4368,78,엑시옴 탁구공 수거용 그물채 접이식 볼피커,25000,2021-08-08,580,https://redsports.co.kr//web/product/manual/S-BCC.jpg,https://redsports.co.kr/web/product/big/202103/96efaf28bed16baf80ebcc4a9c56a08a.png
5859,78,엑시옴 레슨용 이동식 볼박스 LB3,125000,2021-01-12,402,https://redsports.co.kr//web/product/manual/S-LS-B.jpg,https://redsports.co.kr/web/product/big/202103/15e812e8e375304660c2b1d336a52bbc.jpg
5858,78,챔피온 탁구 연습망 LN-5,220000,2021-02-17,167,https://redsports.co.kr//web/product/manual/S-NL-5.jpg,https://redsports.co.kr/web/product/big/202103/5f0824fc6f441995ec5c80878dccac9f.jpg
4358,78,챔피온 엑스커트 탁구대 스커트 조립식,240000,2022-05-10,513,https://redsports.co.kr//web/product/manual/S-XKIRT22.jpg,https://redsports.co.kr/web/product/big/20200616/f2053ad4ead01878818c8e1bdb098ab9.jpg
6073,78,챔피온 N1 탁구 지주네트 세트 보급형,15000,2022-01-01,578,https://redsports.co.kr//web/product/manual/S-N1.jpg,https://redsports.co.kr/web/product/big/202010/b6767358644d035666148aa139cabf7a.jpg
6074,78,챔피온 N4 탁구 지주네트 세트 보급형,20000,2022-07-16,50,https://redsports.co.kr//web/product/manual/S-N4.jpg,https://redsports.co.kr/web/product/big/202010/24a9abf83589e0ddebcc91020b1ead46.jpg
4337,78,챔피온 N5 탁구 지주네트 세트 고급형,33000,2023-05-29,675,https://redsports.co.kr//web/product/manual/S-N5-1.jpg,https://redsports.co.kr/web/product/big/201910/56f4fcfb723696df0623d3de35e2ae72.jpg
6075,78,챔피온 N9 탁구 지주네트 세트 경기용 ITTF 국제공인,60000,2022-03-08,895,https://redsports.co.kr//web/product/manual/S-N9.jpg,https://redsports.co.kr/web/product/big/202010/efab279c6801196a5ae49dff64b3dbbf.jpg
6192,78,챔피온 N10 탁구 지주네트 세트 경기용 ITTF 국제공인,77000,2022-12-17,459,https://redsports.co.kr//web/product/manual/S-N10.jpg,https://redsports.co.kr/web/product/big/202110/b2ee4a12a5f9b2b3f38fe749eafbfc0f.jpg
5714,78,엑시옴 S-3 스코어보드 보급형,33000,2022-10-24,200,https://redsports.co.kr//web/product/manual/S-S3-2.jpg,https://redsports.co.kr/web/product/big/202103/9563900853e68e3951db9785aa852adc.jpg
6238,78,엑시옴 S-3 플러스 다목적 스코어보드,35000,2022-03-29,855,https://redsports.co.kr//web/product/manual/S-S-3.jpg,https://redsports.co.kr/web/product/big/202203/4f84ee22b52fd884680c5885644cc7be.jpg
6004,78,엑시옴 S-4 스코어보드 멀티 레드,45000,2021-06-23,546,https://redsports.co.kr//web/product/manual/S-S4.jpg,https://redsports.co.kr/web/product/big/202103/91591597e6eabc96bfef1e5ce44c61a3.jpg
4351,78,엑시옴 S-6 스코어보드 멀티 경기용,70000,2023-04-08,1,https://redsports.co.kr//web/product/manual/S-S6.jpg,https://redsports.co.kr/web/product/big/202103/a5c0a6ec306fd59060139db3ba9b5a38.jpg
6149,78,챔피온 심판 테이블 T STAND,55000,2022-07-26,454,https://redsports.co.kr//web/product/manual/S-TSTAND.jpg,https://redsports.co.kr/web/product/big/202108/ea4bbd8b9ddd24ccc9e80494cf02e428.jpg
6031,78,이동식 점수판 받침대 5세트 30점 점수판 포함,80000,2023-03-25,193,https://redsports.co.kr//web/product/manual/S-TTTT.jpg,https://redsports.co.kr/web/product/big/20200617/fa1384acf81c3f24c33a13e181a1bb69.jpg
6014,78,챔피온 FC3370 조립식 펜스 간편 고정식 70*233cm,65000,2021-09-19,353,https://redsports.co.kr//web/product/manual/S-FC3370.jpg,https://redsports.co.kr/web/product/big/202103/4710ff8ab7dc19f4bb2aeeba76f09435.jpg
