product_no,index,stock,price_change,color,size,other_option
6191,10,9,309000,,,블루
6191,11,13,309000,,,로즈
6165,0,12,189000,,,ST타입
6165,1,7,189000,,,FL타입
6166,0,19,229000,,,ST타입
6180,0,15,59000,A.블루,3XS(75),
6180,1,16,59000,A.블루,2XS(80),
6180,2,19,59000,A.블루,XS(85),
6180,3,6,59000,A.블루,S(90),
6180,4,13,59000,A.블루,M(95),
6180,5,3,59000,A.블루,L(100),
6180,6,15,59000,A.블루,XL(105),
6180,7,17,59000,A.블루,2XL(110),
6180,8,12,59000,A.블루,3XL(115),
6180,9,10,59000,네이비,3XS(75),
6180,10,10,59000,네이비,2XS(80),
6180,11,4,59000,네이비,XS(85),
6180,12,8,59000,네이비,S(90),
6180,13,8,59000,네이비,M(95),
6180,14,5,59000,네이비,L(100),
6180,15,13,59000,네이비,XL(105),
6180,16,2,59000,네이비,2XL(110),
6180,17,1,59000,네이비,3XL(115),
6180,18,6,59000,옐로우,3XS(75),
6180,19,2,59000,옐로우,2XS(80),
6180,20,14,59000,옐로우,XS(85),
6180,21,13,59000,옐로우,S(90),
6180,22,17,59000,옐로우,M(95),
6180,23,4,59000,옐로우,L(100),
6180,24,16,59000,옐로우,XL(105),
6180,25,3,59000,옐로우,2XL(110),
6180,26,19,59000,옐로우,3XL(115),
6178,0,17,79000,네온퍼플,3XS(75),
6178,1,0,79000,네온퍼플,2XS(80),
6178,2,13,79000,네온퍼플,XS(85),
6178,3,14,79000,네온퍼플,S(90),
6178,4,20,79000,네온퍼플,M(95),
6178,5,4,79000,네온퍼플,L(100),
6178,6,14,79000,네온퍼플,XL(105),
6178,7,17,79000,네온퍼플,2XL(110),
6178,8,18,79000,네온퍼플,3XL(115),
6178,9,15,79000,네온블루,3XS(75),
6178,10,2,79000,네온블루,2XS(80),
6178,11,14,79000,네온블루,XS(85),
6178,12,9,79000,네온블루,S(90),
6178,13,12,79000,네온블루,M(95),
6178,14,3,79000,네온블루,L(100),
6178,15,5,79000,네온블루,XL(105),
6178,16,8,79000,네온블루,2XL(110),
6178,17,2,79000,네온블루,3XL(115),
6178,18,13,79000,라이트블루,3XS(75),
6178,19,19,79000,라이트블루,2XS(80),
6178,20,13,79000,라이트블루,XS(85),
6178,21,19,79000,라이트블루,S(90),
6178,22,6,79000,라이트블루,M(95),
6178,23,8,79000,라이트블루,L(100),
6178,24,15,79000,라이트블루,XL(105),
6178,25,15,79000,라이트블루,2XL(110),
6178,26,20,79000,라이트블루,3XL(115),
6177,0,3,64000,레드,3XS(75),
